id,type,file
CKV2_ADO_1,ADORepositoryHasMinTwoReviewers,github/checkov/checkov/terraform/checks/graph_checks/azuredevops/ADORepositoryHasMinTwoReviewers.yaml
CKV_ALI_1,OSSBucketPublic,github/checkov/checkov/terraform/checks/resource/alicloud/OSSBucketPublic.py
CKV_ALI_2,SecurityGroupUnrestrictedIngress22,github/checkov/checkov/terraform/checks/resource/alicloud/SecurityGroupUnrestrictedIngress22.py
CKV_ALI_3,SecurityGroupUnrestrictedIngress3389,github/checkov/checkov/terraform/checks/resource/alicloud/SecurityGroupUnrestrictedIngress3389.py
CKV_ALI_4,ActionTrailLogAllRegions,github/checkov/checkov/terraform/checks/resource/alicloud/ActionTrailLogAllRegions.py
CKV_ALI_5,ActionTrailLogAllEvents,github/checkov/checkov/terraform/checks/resource/alicloud/ActionTrailLogAllEvents.py
CKV_ALI_6,OSSBucketEncryptedWithCMK,github/checkov/checkov/terraform/checks/resource/alicloud/OSSBucketEncryptedWithCMK.py
CKV_ALI_7,DiskIsEncrypted,github/checkov/checkov/terraform/checks/resource/alicloud/DiskIsEncrypted.py
CKV_ALI_8,DiskEncryptedWithCMK,github/checkov/checkov/terraform/checks/resource/alicloud/DiskEncryptedWithCMK.py
CKV_ALI_9,RDSIsPublic,github/checkov/checkov/terraform/checks/resource/alicloud/RDSIsPublic.py
CKV_ALI_10,OSSBucketVersioning,github/checkov/checkov/terraform/checks/resource/alicloud/OSSBucketVersioning.py
CKV_ALI_11,OSSBucketTransferAcceleration,github/checkov/checkov/terraform/checks/resource/alicloud/OSSBucketTransferAcceleration.py
CKV_ALI_12,OSSBucketAccessLogs,github/checkov/checkov/terraform/checks/resource/alicloud/OSSBucketAccessLogs.py
CKV_ALI_13,RAMPasswordPolicyLength,github/checkov/checkov/terraform/checks/resource/alicloud/RAMPasswordPolicyLength.py
CKV_ALI_14,RAMPasswordPolicyNumber,github/checkov/checkov/terraform/checks/resource/alicloud/RAMPasswordPolicyNumber.py
CKV_ALI_15,RAMPasswordPolicySymbol,github/checkov/checkov/terraform/checks/resource/alicloud/RAMPasswordPolicySymbol.py
CKV_ALI_16,RAMPasswordPolicyExpiration,github/checkov/checkov/terraform/checks/resource/alicloud/RAMPasswordPolicyExpiration.py
CKV_ALI_17,RAMPasswordPolicyLowercaseLetter,github/checkov/checkov/terraform/checks/resource/alicloud/RAMPasswordPolicyLowercaseLetter.py
CKV_ALI_18,RAMPasswordPolicyReuse,github/checkov/checkov/terraform/checks/resource/alicloud/RAMPasswordPolicyReuse.py
CKV_ALI_19,RAMPasswordPolicyUppcaseLetter,github/checkov/checkov/terraform/checks/resource/alicloud/RAMPasswordPolicyUppcaseLetter.py
CKV_ALI_20,RDSInstanceSSL,github/checkov/checkov/terraform/checks/resource/alicloud/RDSInstanceSSL.py
CKV_ALI_21,APIGatewayProtocolHTTPS,github/checkov/checkov/terraform/checks/resource/alicloud/APIGatewayProtocolHTTPS.py
CKV_ALI_22,RDSTransparentDataEncryptionEnabled,github/checkov/checkov/terraform/checks/resource/alicloud/RDSTransparentDataEncryptionEnabled.py
CKV_ALI_23,RAMPasswordPolicyMaxLogin,github/checkov/checkov/terraform/checks/resource/alicloud/RAMPasswordPolicyMaxLogin.py
CKV_ALI_24,RAMSecurityEnforceMFA,github/checkov/checkov/terraform/checks/resource/alicloud/RAMSecurityEnforceMFA.py
CKV_ALI_25,RDSRetention,github/checkov/checkov/terraform/checks/resource/alicloud/RDSRetention.py
CKV_ALI_26,K8sEnableNetworkPolicies,github/checkov/checkov/terraform/checks/resource/alicloud/K8sEnableNetworkPolicies.py
