json_file,rego_file,id,ref_id
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_endpoint_slice/AC_K8S_0113.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_endpoint_slice/loopbackAddressUsed.rego,AC_K8S_0132,AC_K8S_0113
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_ingress/AC-K8-NS-IN-H-0020.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_ingress/noHttps.rego,AC_K8S_0002,AC-K8-NS-IN-H-0020
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_namespace/AC-K8-OE-NS-L-0128.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_namespace/noOwnerLabel.rego,AC_K8S_0013,AC-K8-OE-NS-L-0128
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-CA-PO-H-0165.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/securityContextCheck.rego,AC_K8S_0085,AC-K8-CA-PO-H-0165
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-DS-PO-M-0143.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/disAllowedVolumes.rego,AC_K8S_0130,AC-K8-DS-PO-M-0143
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-DS-PO-M-0176.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/kubeDashboardEnabled.rego,AC_K8S_0067,AC-K8-DS-PO-M-0176
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-DS-PO-M-0177.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/tillerDeployed.rego,AC_K8S_0071,AC-K8-DS-PO-M-0177
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-IA-PO-H-0106.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/privilegedContainersEnabled.rego,AC_K8S_0046,AC-K8-IA-PO-H-0106
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-IA-PO-H-0137.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/disallowedSysCalls.rego,AC_K8S_0074,AC-K8-IA-PO-H-0137
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-IA-PO-H-0138.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/allowedHostPath.rego,AC_K8S_0076,AC-K8-IA-PO-H-0138
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-IA-PO-H-0168.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/securityContextCheck.rego,AC_K8S_0087,AC-K8-IA-PO-H-0168
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-IA-PO-M-0105.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/autoMountTokenEnabled.rego,AC_K8S_0045,AC-K8-IA-PO-M-0105
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-IA-PO-M-0135.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/appArmorProfile.rego,AC_K8S_0073,AC-K8-IA-PO-M-0135
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-IA-PO-M-0139.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/allowedProcMount.rego,AC_K8S_0077,AC-K8-IA-PO-M-0139
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-IA-PO-M-0140.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/securityContextCheck.rego,AC_K8S_0078,AC-K8-IA-PO-M-0140
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-IA-PO-M-0141.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/secCompProfile.rego,AC_K8S_0080,AC-K8-IA-PO-M-0141
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-IA-PO-M-0143.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/allowedVolumes.rego,AC_K8S_0081,AC-K8-IA-PO-M-0143
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-IA-PO-M-0162.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/specBoolCheck.rego,AC_K8S_0082,AC-K8-IA-PO-M-0162
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-IA-PS-M-0112.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/capabilityUsed.rego,AC_K8S_0048,AC-K8-IA-PS-M-0112
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-NS-PO-H-0117.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/secretsAsEnvVariables.rego,AC_K8S_0051,AC-K8-NS-PO-H-0117
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-NS-PO-H-0170.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/capSysAdminUsed.rego,AC_K8S_0075,AC-K8-NS-PO-H-0170
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-NS-PO-M-0122.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/securityContextUsed.rego,AC_K8S_0064,AC-K8-NS-PO-M-0122
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-NS-PO-M-0133.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/imageWithoutDigest.rego,AC_K8S_0069,AC-K8-NS-PO-M-0133
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-NS-PO-M-0163.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/specBoolCheck.rego,AC_K8S_0083,AC-K8-NS-PO-M-0163
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-NS-PO-M-0164.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/specBoolCheck.rego,AC_K8S_0084,AC-K8-NS-PO-M-0164
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-NS-PO-M-0171.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/dockerSockCheck.rego,AC_K8S_0088,AC-K8-NS-PO-M-0171
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-NS-PO-M-0182.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/containersAsHighUID.rego,AC_K8S_0079,AC-K8-NS-PO-M-0182
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-OE-PK-M-0034.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/commandCheck.rego,AC_K8S_0021,AC-K8-OE-PK-M-0034
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-OE-PK-M-0155.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/securityContextCheck.rego,AC_K8S_0097,AC-K8-OE-PK-M-0155
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-OE-PK-M-0156.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/securityContextCheck.rego,AC_K8S_0098,AC-K8-OE-PK-M-0156
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-OE-PK-M-0157.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/securityContextCheck.rego,AC_K8S_0099,AC-K8-OE-PK-M-0157
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-OE-PK-M-0158.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/securityContextCheck.rego,AC_K8S_0100,AC-K8-OE-PK-M-0158
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-OE-PO-L-0129.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/probeCheck.rego,AC_K8S_0070,AC-K8-OE-PO-L-0129
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-OE-PO-L-0130.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/probeCheck.rego,AC_K8S_0072,AC-K8-OE-PO-L-0130
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-OE-PO-L-0134.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/imageWithLatestTag.rego,AC_K8S_0068,AC-K8-OE-PO-L-0134
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC-K8-OE-PO-M-0166.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/otherNamespace.rego,AC_K8S_0086,AC-K8-OE-PO-M-0166
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC_K8S_0051.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/allowedCustomSnippetAnnotations.rego,AC_K8S_0050,AC_K8S_0050
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/AC_K8_0050.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_pod/allowedCustomSnippetAnnotationsWithWrongVersion.rego,AC_K8S_0050,AC_K8S_0050
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_role/AC-K8-IA-RO-H-0104.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_role/defaultServiceAccountUsed.rego,AC_K8S_0113,AC-K8-IA-RO-H-0104
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_service/AC-K8-NS-SE-M-0185.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_service/tillerServiceDeleted.rego,AC_K8S_0110,AC-K8-NS-SE-M-0185
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_service/AC-K8-NS-SV-L-0132.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_service/nodePort.rego,AC_K8S_0111,AC-K8-NS-SV-L-0132
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_service/AC_K8S_0112.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_service/ensurePrivateIP.rego,AC_K8S_0112,AC-K8-NS-SE-M-0188
github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_service/AC_K8S_0114.json,github/terrascan/pkg/policies/opa/rego/k8s/kubernetes_service/ensureServiceWithSelector.rego,AC_K8S_0114,AC_K8S_0114
